id_instructor;name_instructor;username_instructor;email_instructor;password_instructor;token_instructor;token_exp_instructor;date_created_instructor;date_updated_instructor
1;Fernando Herrera;fherrera;fherrera@correo.com;;;;19/10/2021;19/10/2021 23:59
2;Juan Pablo De la torre Valdez;jdelatorre;jdelatorre@correo.com;;;;19/10/2021;19/10/2021 23:59
3;Jose Javier Villena;jvillena;jvillena@correo.com;;;;19/10/2021;19/10/2021 23:59
4;Global Mentoring;gmentoring;gmentoring@correo.com;;;;19/10/2021;19/10/2021 23:59
5;Héctor Costa Guzmán;hguzman;hguzman@correo.com;;;;19/10/2021;19/10/2021 23:59
6;Víctor Robles;vrobles;vrobles@correo.com;;;;19/10/2021;19/10/2021 23:59
7;Mariano Rivas;mrivas;mrivas@correo.com;;;;19/10/2021;19/10/2021 23:59
8;Carlos Arturo Esparza;cesparza;cesparza@correo.com;;;;19/10/2021;19/10/2021 23:59
9;Gianmarco Tantaruna;gtantaruna;gtantaruna@correo.com;;;;19/10/2021;19/10/2021 23:59
10;Alejandro Miguel Taboada Sanchez;jdelataboada;jdelataboada@correo.com;;;;19/10/2021;19/10/2021 23:59
11;Juan Gabriel Gomila Salas;jgomila;jgomila@correo.com;;;;19/10/2021;19/10/2021 23:59
12;Ing. Emiliano Ocariz;iocariz;iocariz@correo.com;;;;19/10/2021;19/10/2021 23:59
13;Andrés José Guzmán;aguzmán;aguzmán@correo.com;;;;19/10/2021;19/10/2021 23:59
14;Juan Fernando Urrego;jurrego;jurrego@correo.com;;;;19/10/2021;19/10/2021 23:59
15;Jose Luis Núñez Montes;jdelanunez;jdelanunez@correo.com;;;;19/10/2021;19/10/2021 23:59
16;Miguel A. M.;mm;mm@correo.com;;;;19/10/2021;19/10/2021 23:59
17;Juan Villalvazo;jvillalvazo;jvillalvazo@correo.com;;;;19/10/2021;19/10/2021 23:59
18;Juan Carlos Arcila Díaz;jdelaarcila;jdelaarcila@correo.com;;;;19/10/2021;19/10/2021 23:59
19;Jorge García;jgarcia;jgarcia@correo.com;;;;19/10/2021;19/10/2021 23:59
20;Javier Arturo Vázquez Olivares;jdelavazquez;jdelavazquez@correo.com;;;;19/10/2021;19/10/2021 23:59
21;Rodrigo Martinez Blanco;rblanco;rblanco@correo.com;;;;19/10/2021;19/10/2021 23:59
22;Ángel Arias;aarias;aarias@correo.com;;;;19/10/2021;19/10/2021 23:59
23;Aldo Olivares;aolivares;aolivares@correo.com;;;;19/10/2021;19/10/2021 23:59
24;Redait Media;rmedia;rmedia@correo.com;;;;19/10/2021;19/10/2021 23:59
